mcg,gvh,alm,mit,erl,pox,vac,nuc,label
0.56,0.42,0.52,0.14,0.5,0.0,0.51,0.22,CYT
0.25,0.26,0.53,0.17,0.5,0.0,0.45,0.22,CYT
0.39,0.47,0.49,0.2,0.5,0.0,0.53,0.26,CYT
0.57,0.43,0.52,0.3,0.5,0.0,0.37,0.11,CYT
0.47,0.54,0.54,0.48,0.5,0.0,0.53,0.26,MIT
0.52,0.37,0.48,0.13,0.5,0.0,0.55,0.22,NUC
0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,ME1
0.52,0.5,0.6,0.2,0.5,0.0,0.52,0.22,CYT
0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,NUC
0.53,0.46,0.54,0.37,0.5,0.0,0.51,0.3,NUC
0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,CYT
0.4,0.68,0.5,0.82,0.5,0.0,0.44,0.36,MIT
0.45,0.43,0.63,0.4,0.5,0.0,0.59,0.11,MIT
0.45,0.5,0.57,0.29,0.5,0.0,0.44,0.11,CYT
0.53,0.68,0.34,0.42,0.5,0.0,0.54,0.27,ME3
0.66,0.52,0.52,0.44,0.5,0.0,0.56,0.27,MIT
0.35,0.39,0.56,0.2,0.5,0.0,0.49,0.41,CYT
0.45,0.73,0.47,0.65,0.5,0.0,0.54,0.43,MIT
0.6,0.51,0.49,0.18,0.5,0.0,0.53,0.38,CYT
0.58,0.64,0.42,0.3,0.5,0.0,0.54,0.22,NUC
0.73,0.83,0.43,0.3,0.5,0.0,0.55,0.22,ME1
0.51,0.48,0.51,0.26,0.5,0.0,0.51,0.27,CYT
0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,NUC
0.64,0.44,0.51,0.35,0.5,0.0,0.53,0.22,CYT
0.41,0.41,0.43,0.61,0.5,0.0,0.53,0.22,MIT
0.51,0.34,0.49,0.16,0.5,0.0,0.53,0.21,NUC
0.45,0.66,0.39,0.11,0.5,0.0,0.54,0.22,ME3
0.75,0.76,0.58,0.22,0.5,0.0,0.49,0.22,EXC
0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,VAC
0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,MIT
0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,CYT
0.46,0.33,0.45,0.22,0.5,0.0,0.41,0.37,CYT
0.59,0.57,0.43,0.26,0.5,0.0,0.51,0.22,MIT
0.52,0.46,0.51,0.18,0.5,0.0,0.5,0.22,CYT
0.22,0.53,0.36,0.22,0.5,0.0,0.54,0.31,ME3
0.6,0.61,0.54,0.11,0.5,0.0,0.46,0.22,CYT
0.38,0.45,0.37,0.19,0.5,0.0,0.52,0.3,ME3
0.49,0.38,0.56,0.09,0.5,0.0,0.46,0.22,CYT
0.63,0.57,0.5,0.48,0.5,0.0,0.51,0.22,MIT
0.56,0.68,0.52,0.39,0.5,0.0,0.36,0.22,MIT
0.44,0.39,0.63,0.11,0.5,0.0,0.49,0.26,NUC
0.23,0.13,0.51,0.16,0.5,0.0,0.53,0.51,NUC
0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,VAC
0.45,0.4,0.43,0.22,0.5,0.0,0.51,0.48,NUC
0.57,0.37,0.43,0.27,0.5,0.0,0.53,0.28,NUC
0.43,0.4,0.5,0.18,0.5,0.0,0.5,0.28,CYT
0.59,0.7,0.46,0.19,0.5,0.0,0.54,0.44,CYT
0.28,0.48,0.56,0.16,0.5,0.0,0.48,0.26,CYT
0.85,0.66,0.49,0.18,0.5,0.0,0.51,0.22,ME1
0.41,0.52,0.56,0.26,0.5,0.0,0.48,0.32,NUC
0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,MIT
0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,CYT
