mcg,gvh,lip,chg,aac,alm1,alm2,label
0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
